iter	Passed	Remaining
649	7424	3997
650	7432	3984
651	7443	3972
652	7454	3961
653	7463	3948
654	7474	3936
655	7482	3923
656	7494	3912
657	7505	3900
658	7514	3888
659	7525	3876
660	7534	3864
661	7543	3851
662	7554	3840
663	7563	3827
664	7573	3815
665	7583	3803
666	7591	3790
667	7602	3778
668	7611	3765
669	7622	3754
670	7634	3743
671	7642	3730
672	7653	3718
673	7662	3706
674	7673	3694
675	7684	3682
676	7692	3670
677	7703	3658
678	7713	3646
679	7723	3634
680	7733	3622
681	7742	3610
682	7752	3598
683	7763	3586
684	7772	3574
685	7784	3563
686	7793	3550
687	7802	3538
688	7812	3526
689	7821	3514
690	7832	3502
691	7842	3490
692	7851	3478
693	7862	3466
694	7870	3454
695	7881	3442
696	7891	3430
697	7900	3418
698	7911	3406
699	7921	3394
700	7931	3383
701	7942	3371
702	7951	3359
703	7961	3347
704	7970	3335
705	7981	3323
706	8005	3317
707	8014	3305
708	8025	3293
709	8034	3281
710	8044	3269
711	8056	3258
712	8065	3246
713	8076	3235
714	8087	3223
715	8096	3211
716	8107	3199
717	8116	3187
718	8126	3175
719	8137	3164
720	8146	3152
721	8158	3141
722	8169	3129
723	8177	3117
724	8188	3106
725	8197	3093
726	8208	3082
727	8218	3070
728	8226	3058
729	8237	3046
730	8247	3034
731	8257	3023
732	8267	3011
733	8276	2999
734	8288	2988
735	8299	2976
736	8308	2964
737	8318	2953
738	8327	2941
739	8339	2930
740	8351	2919
741	8361	2907
742	8370	2895
743	8382	2884
744	8391	2872
745	8402	2861
746	8415	2850
747	8425	2838
748	8435	2826
749	8449	2816
750	8459	2804
751	8467	2792
752	8479	2781
753	8489	2769
754	8499	2758
755	8510	2746
756	8520	2735
757	8530	2723
758	8543	2712
759	8553	2701
760	8563	2689
761	8575	2678
762	8585	2666
763	8596	2655
764	8608	2644
765	8619	2632
766	8629	2621
767	8640	2610
768	8649	2598
769	8660	2586
770	8670	2575
771	8679	2563
772	8690	2552
773	8700	2540
